framework,date,downloads
ionic,2018-08-28,58262
ionic,2018-09-04,49593
ionic,2018-09-11,67986
ionic,2018-09-18,52729
ionic,2018-09-25,49494
ionic,2018-10-02,73851
ionic,2018-10-09,83397
ionic,2018-10-16,67125
ionic,2018-10-23,55958
ionic,2018-10-30,51930
ionic,2018-11-06,90155
ionic,2018-11-13,57048
ionic,2018-11-20,52614
ionic,2018-11-27,81655
ionic,2018-12-04,90001
ionic,2018-12-11,53137
ionic,2018-12-18,46896
ionic,2018-12-25,58820
ionic,2019-01-01,28935
ionic,2019-01-08,61421
ionic,2019-01-15,80996
ionic,2019-01-22,61607
ionic,2019-01-29,79792
ionic,2019-02-05,103565
ionic,2019-02-12,64273
ionic,2019-02-19,75350
ionic,2019-02-26,58662
ionic,2019-03-05,70787
ionic,2019-03-12,77122
ionic,2019-03-19,73441
ionic,2019-03-26,60236
ionic,2019-04-02,56846
ionic,2019-04-09,57959
ionic,2019-04-16,53722
ionic,2019-04-23,44259
ionic,2019-04-30,63374
ionic,2019-05-07,44943
ionic,2019-05-14,56391
ionic,2019-05-21,52179
ionic,2019-05-28,54546
ionic,2019-06-04,61116
ionic,2019-06-11,64327
ionic,2019-06-18,63449
ionic,2019-06-25,78435
ionic,2019-07-02,87541
ionic,2019-07-09,63415
ionic,2019-07-16,69681
ionic,2019-07-23,61021
ionic,2019-07-30,60656
ionic,2019-08-06,61840
ionic,2019-08-13,68429
ionic,2019-08-20,62443
ionic,2019-08-27,67543
ionic,2019-09-03,66507
ionic,2019-09-10,64087
ionic,2019-09-17,66850
ionic,2019-09-24,74471
ionic,2019-10-01,63939
ionic,2019-10-08,66524
ionic,2019-10-15,69075
ionic,2019-10-22,71322
ionic,2019-10-29,62144
ionic,2019-11-05,65588
ionic,2019-11-12,64773
ionic,2019-11-19,68981
ionic,2019-11-26,74212
ionic,2019-12-03,61816
ionic,2019-12-10,69111
ionic,2019-12-17,69072
ionic,2019-12-24,71414
ionic,2019-12-31,32131
